iter	Passed	Remaining
971	15050	15917
972	15065	15901
973	15082	15887
974	15099	15873
975	15116	15860
976	15130	15842
977	15148	15829
978	15162	15813
979	15179	15799
980	15193	15782
981	15208	15765
982	15223	15749
983	15238	15733
984	15252	15717
985	15266	15700
986	15281	15683
987	15295	15667
988	15309	15650
989	15325	15635
990	15340	15618
991	15354	15602
992	15369	15585
993	15384	15569
994	15398	15553
995	15413	15537
996	15427	15520
997	15442	15503
998	15456	15487
999	15471	15471
1000	15486	15455
1001	15500	15438
1002	15518	15425
1003	15551	15427
1004	15570	15415
1005	15586	15400
1006	15601	15384
1007	15615	15367
1008	15630	15351
1009	15645	15335
1010	15660	15320
1011	15676	15304
1012	15691	15288
1013	15709	15275
1014	15727	15262
1015	15744	15248
1016	15758	15231
1017	15774	15216
1018	15789	15200
1019	15803	15183
1020	15818	15168
1021	15832	15151
1022	15847	15134
1023	15860	15117
1024	15875	15100
1025	15892	15087
1026	15907	15071
1027	15922	15054
1028	15938	15040
1029	15954	15025
1030	15972	15011
1031	15987	14996
1032	16002	14980
1033	16017	14964
1034	16032	14948
1035	16046	14931
1036	16062	14916
1037	16075	14898
1038	16091	14883
1039	16107	14868
1040	16125	14855
1041	16141	14840
1042	16158	14825
1043	16174	14810
1044	16188	14794
1045	16203	14778
1046	16217	14761
1047	16232	14745
1048	16246	14729
1049	16259	14710
1050	16274	14694
1051	16288	14678
1052	16303	14662
1053	16316	14644
1054	16330	14628
1055	16346	14612
1056	16361	14596
1057	16376	14580
1058	16393	14566
1059	16408	14550
1060	16422	14534
1061	16436	14517
1062	16450	14500
1063	16464	14484
1064	16479	14467
1065	16493	14451
1066	16508	14434
1067	16523	14419
1068	16537	14402
1069	16552	14387
1070	16569	14372
1071	16584	14356
1072	16598	14340
1073	16612	14323
1074	16627	14306
1075	16644	14292
1076	16658	14276
1077	16673	14260
1078	16688	14244
1079	16703	14228
1080	16717	14212
1081	16732	14195
1082	16746	14179
1083	16760	14162
1084	16776	14147
1085	16790	14131
1086	16805	14115
1087	16820	14099
1088	16834	14082
1089	16849	14066
1090	16863	14050
1091	16877	14033
1092	16893	14018
1093	16908	14002
1094	16922	13986
1095	16938	13970
1096	16953	13955
1097	16971	13941
1098	16989	13928
1099	17006	13914
1100	17023	13900
1101	17038	13884
1102	17052	13867
1103	17067	13851
1104	17081	13835
1105	17096	13819
1106	17111	13803
1107	17126	13787
1108	17141	13771
1109	17155	13755
1110	17169	13738
1111	17184	13722
1112	17201	13708
1113	17216	13692
1114	17230	13676
1115	17245	13660
1116	17260	13644
1117	17275	13628
1118	17289	13612
1119	17304	13596
1120	17319	13580
1121	17334	13564
1122	17349	13548
1123	17363	13532
1124	17378	13516
1125	17394	13501
1126	17419	13493
1127	17459	13496
1128	17485	13489
1129	17501	13474
1130	17517	13459
1131	17535	13446
1132	17555	13433
1133	17571	13418
1134	17586	13403
1135	17602	13387
1136	17619	13373
1137	17634	13357
1138	17649	13341
1139	17664	13325
1140	17679	13309
1141	17692	13292
1142	17706	13276
1143	17722	13260
1144	17736	13244
1145	17751	13228
1146	17767	13213
1147	17781	13196
1148	17796	13180
1149	17814	13166
1150	17830	13152
1151	17845	13136
1152	17859	13119
1153	17875	13104
1154	17889	13088
1155	17904	13072
1156	17919	13056
1157	17934	13040
1158	17949	13024
1159	17964	13008
1160	17978	12992
1161	17992	12975
1162	18007	12960
1163	18022	12944
1164	18039	12929
1165	18054	12913
1166	18069	12897
1167	18083	12881
1168	18098	12865
1169	18115	12851
1170	18130	12835
1171	18145	12819
1172	18160	12803
1173	18175	12787
1174	18189	12771
1175	18203	12754
1176	18218	12739
1177	18233	12723
1178	18249	12707
1179	18264	12692
1180	18278	12675
1181	18293	12659
1182	18307	12643
1183	18322	12627
1184	18339	12612
1185	18353	12596
1186	18367	12580
1187	18383	12565
1188	18398	12549
1189	18415	12535
1190	18430	12519
1191	18483	12528
1192	18512	12522
1193	18528	12507
1194	18542	12490
1195	18554	12473
1196	18569	12456
1197	18583	12440
1198	18600	12426
1199	18615	12410
1200	18630	12394
1201	18645	12378
1202	18661	12363
1203	18675	12347
1204	18693	12333
1205	18710	12318
1206	18725	12302
1207	18740	12287
1208	18755	12270
